Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Bperu Pe E Pmin Pmax
      69  0.00000E+00  0.00000E+000  3.01444E-020  1.66541E-014 -4.98710E-015 -8.86669E-015  1.70637E-004 -1.26346E-004  9.51607E-005  1.16616E-006  5.68491E-006  1.07848E-006  2.63512E-006  1.85646E-005  3.79855E-007  1.42092E-002
      70  0.00000E+00  0.00000E+000  3.00887E-020  1.66253E-014 -4.98955E-015 -8.85388E-015  1.77481E-004 -1.35075E-004  9.95760E-005  1.15421E-006  5.48439E-006  1.05376E-006  2.62401E-006  1.83327E-005  3.61030E-007  1.42600E-002
      71  0.00000E+00  0.00000E+000  3.00301E-020  1.66005E-014 -4.98633E-015 -8.83710E-015  1.84478E-004 -1.43985E-004  1.04048E-004  1.14221E-006  5.28820E-006  9.08409E-007  2.61300E-006  1.80990E-005  3.43718E-007  1.43107E-002
      72  0.00000E+00  0.00000E+000  2.99687E-020  1.65777E-014 -4.97642E-015 -8.81499E-015  1.91621E-004 -1.53081E-004  1.08579E-004  1.13018E-006  5.09631E-006  8.33829E-007  2.60207E-006  1.78636E-005  3.27824E-007  1.43612E-002
      73  0.00000E+00  0.00000E+000  2.99044E-020  1.65556E-014 -4.96144E-015 -8.78768E-015  1.98909E-004 -1.62364E-004  1.13170E-004  1.11812E-006  4.90871E-006  7.76247E-007  2.59123E-006  1.76266E-005  3.13266E-007  1.44116E-002
      74  0.00000E+00  0.00000E+000  2.98373E-020  1.65353E-014 -4.94031E-015 -8.75547E-015  2.06343E-004 -1.71837E-004  1.17820E-004  1.10603E-006  4.72538E-006  7.30999E-007  2.58050E-006  1.73881E-005  2.98810E-007  1.44618E-002
      75  0.00000E+00  0.00000E+000  2.97672E-020  1.65141E-014 -4.91448E-015 -8.71711E-015  2.13924E-004 -1.81505E-004  1.22531E-004  1.09393E-006  4.54630E-006  6.76143E-007  2.56987E-006  1.71480E-005  2.81524E-007  1.45119E-002
      76  0.00000E+00  0.00000E+000  2.96941E-020  1.64932E-014 -4.88297E-015 -8.67304E-015  2.21649E-004 -1.91370E-004  1.27301E-004  1.08183E-006  4.37145E-006  6.27398E-007  2.55935E-006  1.69066E-005  2.64709E-007  1.45619E-002
      77  0.00000E+00  0.00000E+000  2.96181E-020  1.64704E-014 -4.84756E-015 -8.62310E-015  2.29521E-004 -2.01437E-004  1.32134E-004  1.06973E-006  4.20082E-006  6.07728E-007  2.54897E-006  1.66641E-005  2.49196E-007  1.46116E-002
      78  0.00000E+00  0.00000E+000  2.95391E-020  1.64462E-014 -4.80679E-015 -8.56704E-015  2.37539E-004 -2.11709E-004  1.37028E-004  1.05765E-006  4.03437E-006  5.46070E-007  2.53870E-006  1.64204E-005  2.34967E-007  1.46613E-002
      79  0.00000E+00  0.00000E+000  2.94573E-020  1.64186E-014 -4.76282E-015 -8.50480E-015  2.45699E-004 -2.22188E-004  1.41992E-004  1.04559E-006  3.87211E-006  4.66732E-007  2.52858E-006  1.61758E-005  2.21958E-007  1.47108E-002
      80  0.00000E+00  0.00000E+000  2.93725E-020  1.63877E-014 -4.71458E-015 -8.43669E-015  2.53999E-004 -2.32878E-004  1.47021E-004  1.03357E-006  3.71403E-006  4.20327E-007  2.51859E-006  1.59305E-005  2.10087E-007  1.47602E-002
      81  0.00000E+00  0.00000E+000  2.91620E-020  1.61120E-014 -4.63017E-015 -8.25721E-015  2.62348E-004 -2.44336E-004  1.50174E-004  1.01969E-006  3.57454E-006 -1.10762E-006  2.49588E-006  1.57014E-005  2.01952E-007  1.89241E-002
      82  0.00000E+00  0.00000E+000  2.91311E-020  1.59447E-014 -4.55383E-015 -8.15981E-015  2.70241E-004 -2.55311E-004  1.54631E-004  1.01068E-006  3.44378E-006 -1.73105E-007  2.49285E-006  1.55213E-005  1.93083E-007  2.01699E-002
      83  0.00000E+00  0.00000E+000  2.90921E-020  1.57871E-014 -4.48107E-015 -8.06733E-015  2.78180E-004 -2.66406E-004  1.59091E-004  1.00176E-006  3.31600E-006  4.91653E-007  2.48894E-006  1.53380E-005  1.84596E-007  2.11924E-002
      84  0.00000E+00  0.00000E+000  2.90441E-020  1.56305E-014 -4.40974E-015 -7.97864E-015  2.86163E-004 -2.77621E-004  1.63568E-004  9.92904E-007  3.19140E-006  9.40600E-007  2.48398E-006  1.51514E-005  1.77396E-007  2.17645E-002
      85  0.00000E+00  0.00000E+000  2.89899E-020  1.54704E-014 -4.33995E-015 -7.89203E-015  2.94190E-004 -2.88955E-004  1.68072E-004  9.84102E-007  3.07011E-006  1.43460E-006  2.47837E-006  1.49628E-005  1.70571E-007  2.22318E-002
      86  0.00000E+00  0.00000E+000  2.89308E-020  1.53046E-014 -4.26812E-015 -7.80538E-015  3.02257E-004 -3.00402E-004  1.72612E-004  9.75335E-007  2.95220E-006  7.03900E-007  2.47233E-006  1.47727E-005  1.62999E-007  2.26284E-002
      87  0.00000E+00  0.00000E+000  2.88680E-020  1.51326E-014 -4.19773E-015 -7.71725E-015  3.10359E-004 -3.11956E-004  1.77193E-004  9.66587E-007  2.83771E-006  1.27066E-006  2.46603E-006  1.45818E-005  1.55968E-007  2.29281E-002
